,monkey,rt,coh,correct,trgchoice
309,2,0.1855244,0.6,1,1
310,2,1.1352758,0.7,1,1
311,2,0.4020298,0.4,0,1
312,2,0.5809648,0.7,1,1
313,2,0.3995908,0.5,1,1
314,2,0.2831347,0.2,0,2
315,2,0.3622405,0.6,1,1
316,2,0.5315366,0.6,1,1
317,2,0.4373781,0.7,1,1
318,2,0.4092636,0.4,0,2
319,2,0.745938,0.2,0,2
320,2,0.4654539,0.8,1,1
321,2,1.0812997,0.4,0,1
322,2,0.7156115,0.4,0,1
323,2,0.4894483,0.6,1,1
324,2,3.0218003,0.7,1,1
325,2,1.0375658,0.3,0,2
326,2,0.8818216,0.6,1,1
327,2,0.469725,0.7,1,1
328,2,0.7776234,0.4,0,2
329,2,1.4360423,0.6,1,2
330,2,1.2895645,0.8,1,1
331,2,2.1378758,0.4,0,2
332,2,0.5817869,0.5,0,1
333,2,0.2973255,0.8,1,1
334,2,0.6918804,0.4,0,2
335,2,0.4417792,0.2,0,2
336,2,0.397266,0.7,1,1
337,2,0.3211681,0.8,1,1
338,2,0.3448151,0.8,1,1
339,2,0.6033772,0.4,0,2
340,2,0.6632484,0.5,0,1
341,2,0.4659316,0.4,0,2
342,2,0.6299224,0.3,0,2
343,2,0.3414189,0.7,1,1
344,2,1.7611437,0.4,0,2
345,2,0.7779349,0.2,0,2
346,2,0.5016974,0.3,0,2
347,2,1.8613557,0.5,0,2
348,2,0.5581459,0.5,0,1
349,2,0.553829,0.4,0,2
350,2,3.4879179,0.5,1,2
351,2,0.4494343,0.8,1,1
352,2,0.7815857,0.5,0,1
353,2,0.7415323,0.3,0,1
354,2,0.7075885,0.4,0,1
355,2,0.459382,0.2,0,2
356,2,0.6336276,0.8,1,1
357,2,1.229307,0.5,1,1
358,2,0.4540778,0.5,0,1
359,2,0.6100595,0.4,0,2
360,2,0.4456142,0.5,1,1
361,2,0.3080486,0.6,1,1
362,2,0.2655735,0.8,1,1
363,2,0.3457763,0.4,0,1
364,2,0.3139084,0.8,1,1
365,2,0.1353718,0.7,1,1
366,2,0.2577698,0.8,1,1
367,2,0.761919,0.2,0,2
368,2,0.6251127,0.4,0,1
369,2,0.4372473,0.5,0,1
370,2,0.6112562,0.6,1,1
371,2,0.3777195,0.2,0,2
372,2,0.3826492,0.7,1,1
373,2,0.6495921,0.2,0,1
374,2,0.1056006,0.8,1,1
375,2,0.4096831,0.6,1,1
376,2,0.6214146,0.3,0,2
377,2,1.0962682,0.5,0,2
378,2,1.9610965,0.4,0,1
379,2,0.3560107,0.6,1,1
380,2,1.2232664,0.5,0,2
381,2,0.6160393,0.3,0,2
382,2,0.2573553,0.6,1,1
383,2,0.6219667,0.7,1,2
384,2,0.2675303,0.8,1,1
385,2,0.601739,0.4,0,2
386,2,0.4801468,0.5,1,1
387,2,0.4599834,0.2,0,2
388,2,0.2501384,0.8,1,1
389,2,0.2598735,0.8,1,1
390,2,0.4520083,0.4,0,2
391,2,0.2676674,0.6,1,1
392,2,0.6908716,0.8,1,1
393,2,1.1966873,0.3,0,1
394,2,0.3847107,0.2,0,2
395,2,0.3771523,0.6,1,1
396,2,0.5426233,0.7,1,1
397,2,0.6420899,0.6,1,1
398,2,0.5777728,0.4,0,2
399,2,0.5704672,0.8,1,1
400,2,0.8631949,0.7,1,1
401,2,0.7947362,0.6,1,1
402,2,0.8052269,0.3,0,2
403,2,0.3924452,0.2,0,2
404,2,0.4533273,0.3,0,2
405,2,0.2392201,0.7,1,1
406,2,0.6249402,0.2,0,2
407,2,0.4270497,0.6,1,1
408,2,0.5056624,0.4,0,2
409,2,0.4335463,0.6,1,1
410,2,0.5328705,0.3,0,2
411,2,0.9373326,0.6,1,1
412,2,0.7125851,0.4,0,1
413,2,0.5087491,0.5,1,1
414,2,0.8999257,0.4,0,1
415,2,0.6490206,0.6,1,1
416,2,0.566975,0.7,1,1
417,2,0.5831539,0.3,0,2
418,2,0.6530467,0.3,0,2
419,2,1.7389597,0.4,0,1
420,2,0.5720202,0.8,1,1
421,2,0.3989331,0.7,1,1
422,2,0.5152016,0.2,0,2
423,2,0.5870695,0.6,1,1
424,2,0.3800812,0.6,1,1
425,2,0.2766676,0.7,1,1
426,2,0.6560727,0.4,0,2
427,2,0.3813873,0.3,0,2
428,2,0.5005285,0.3,0,2
429,2,0.5853082,0.2,0,2
430,2,0.9609649,0.4,0,2
431,2,0.2493307,0.8,1,1
432,2,0.3199362,0.5,0,1
433,2,0.3035967,0.7,1,1
434,2,0.3774062,0.4,0,1
435,2,0.3824911,0.8,1,1
436,2,1.7741601,0.5,1,1
437,2,1.0892819,0.2,0,2
438,2,0.3200529,0.7,1,1
439,2,0.7854536,0.6,1,1
440,2,0.4568047,0.2,0,2
441,2,1.2483416,0.5,0,1
442,2,2.7617666,0.4,0,2
443,2,0.2894332,0.6,1,1
444,2,0.675035,0.2,0,2
445,2,0.6392664,0.3,0,2
446,2,1.4451279,0.5,1,1
447,2,0.4816026,0.8,1,1
448,2,0.7490085,0.5,1,2
449,2,0.4753353,0.2,0,2
450,2,0.4260466,0.2,0,2
451,2,0.4415294,0.8,1,1
452,2,0.4056993,0.3,0,2
453,2,0.4855987,0.7,1,1
454,2,0.5135236,0.2,0,2
455,2,0.7897506,0.7,1,1
456,2,0.5847505,0.4,0,2
457,2,0.3553928,0.2,0,2
458,2,0.4857048,0.3,0,2
459,2,0.2894964,0.8,1,1
460,2,0.4117062,0.4,0,2
461,2,1.0307908,0.5,1,1
462,2,0.7873596,0.4,0,1
463,2,0.3713924,0.8,1,1
464,2,0.3056334,0.8,1,1
465,2,0.1294139,0.8,1,1
466,2,1.2772959,0.3,0,2
467,2,1.5499102,0.3,0,2
468,2,0.4453475,0.3,0,2
469,2,0.2935114,0.7,1,1
470,2,1.0497504,0.4,0,1
471,2,0.3618213,0.4,0,1
472,2,0.4775208,0.3,0,2
473,2,0.7111805,0.5,0,2
474,2,0.5689781,0.8,1,1
475,2,0.4776947,0.7,1,1
476,2,0.3312103,0.6,1,1
477,2,0.733138,0.3,0,2
478,2,0.441097,0.4,0,2
479,2,0.3660035,0.5,0,1
480,2,0.196892,0.7,1,1
481,2,0.9775498,0.2,0,2
482,2,0.6657246,0.2,0,2
483,2,0.7379823,0.6,1,1
484,2,0.5334694,0.5,0,1
485,2,0.3538084,0.2,0,2
486,2,0.5135644,0.4,0,1
487,2,0.2779012,0.5,0,1
488,2,1.215572,0.5,0,1
489,2,0.2975393,0.6,1,1
490,2,0.3972937,0.5,1,1
491,2,0.239564,0.7,1,1
492,2,0.2734503,0.6,1,1
493,2,0.4172842,0.4,0,1
494,2,0.1958909,0.6,1,1
495,2,0.2418027,0.6,1,1
496,2,1.1372334,0.4,0,2
497,2,0.6969955,0.4,0,1
498,2,0.1554495,0.8,1,1
499,2,0.7036842,0.5,1,1
500,2,0.0237235,0.7,1,1
501,2,0.7372602,0.8,1,1
502,2,0.9217718,0.2,0,2
503,2,0.6308074,0.3,0,2
504,2,0.9409834,0.3,0,2
505,2,0.9073289,0.8,1,1
